Binary Accuracy,Networks,Loss,Embedding Dropout
0.8017087578773499,['autoint_nets'],0.43025344610214233,0.4
0.8009513020515442,['dcn_nets'],0.41416803002357483,0.2
0.7970430254936218,['pnn_nets'],0.4492579400539398,0.2
0.7920138239860535,['pnn_nets'],0.44888079166412354,0.6
0.7878025770187378,['dcn_nets'],0.44524136185646057,0.6
0.785954475402832,['pnn_nets'],0.4553374946117401,0.4
0.7817432880401611,['dcn_nets'],0.483351469039917,0.4
0.7777138352394104,['afm_nets'],0.5951459407806396,0.6
0.7774714231491089,['autoint_nets'],0.4712987244129181,0.2
0.7663223147392273,"['linear', 'cin_nets', 'dnn_nets']",0.5029387474060059,0.4
0.7553852200508118,['afm_nets'],0.5374510288238525,0.4
0.7509316205978394,"['linear', 'dnn_nets']",0.5024206638336182,0.6
0.737601101398468,['afm_nets'],0.5209072828292847,0.2
0.716029942035675,['autoint_nets'],0.5237614512443542,0.6
0.6957917809486389,"['linear', 'cin_nets', 'dnn_nets']",0.540648877620697,0.2
0.6858848333358765,"['linear', 'fm_nets', 'dnn_nets']",0.5642691850662231,0.4
0.6576483845710754,"['linear', 'cin_nets', 'dnn_nets']",0.6442309617996216,0.6
0.645226776599884,"['linear', 'dnn_nets']",14.351037979125977,0.2
0.6274426579475403,"['linear', 'fm_nets', 'dnn_nets']",1.6073120832443237,0.2
0.36240798234939575,"['linear', 'dnn_nets']",43.330631256103516,0.4
0.35695457458496094,"['linear', 'fm_nets', 'dnn_nets']",45.83935546875,0.6
0.2301633059978485,['fgcnn_dnn_nets'],0.6847940683364868,0.4
0.21137940883636475,['fgcnn_dnn_nets'],0.6981753706932068,0.2
0.21071287989616394,['fgcnn_dnn_nets'],0.6982921957969666,0.6
